latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.8476,-10.4158,302.6,1.6,1.2,2017-01-02,1110,Terra,MODIS,34,6.03,288,5.2,D,0
28.8503,-10.425,306.2,1.6,1.2,2017-01-02,1110,Terra,MODIS,58,6.03,287.8,9.2,D,0
28.8494,-10.4319,303.5,1.6,1.2,2017-01-02,1110,Terra,MODIS,46,6.03,288.1,5.8,D,0
32.993,-2.3619,303.7,1,1,2017-01-03,1327,Aqua,MODIS,51,6.03,292.5,3.6,D,0
32.9994,-2.3581,302.6,1,1,2017-01-04,1056,Terra,MODIS,53,6.03,287.9,4.8,D,0
29.6256,-9.5198,313.6,1.3,1.1,2017-01-04,1409,Aqua,MODIS,68,6.03,299.6,11.3,D,0
32.9959,-2.3583,304.1,1.1,1,2017-01-05,1315,Aqua,MODIS,56,6.03,290.8,5.1,D,0
33.7232,-5.5988,302.8,1.2,1.1,2017-01-07,1127,Terra,MODIS,54,6.03,292,5,D,0
32.9979,-2.3501,300,1.2,1.1,2017-01-09,1114,Terra,MODIS,21,6.03,286.8,5.4,D,0
31.4726,-8.6518,304.4,1.6,1.2,2017-01-12,1146,Terra,MODIS,57,6.03,294.4,6.6,D,0
35.2487,-3.1441,302.6,1.3,1.1,2017-01-13,1049,Terra,MODIS,46,6.03,290.6,6.4,D,0
32.9966,-2.3536,302.9,1.1,1.1,2017-01-13,1050,Terra,MODIS,54,6.03,289.4,5.2,D,0
35.2517,-3.1464,319.6,1.2,1.1,2017-01-16,1120,Terra,MODIS,60,6.03,289.4,24.4,D,0
30.3727,-9.4371,307.8,1,1,2017-01-16,1122,Terra,MODIS,64,6.03,294.3,5.7,D,0
35.2518,-3.1495,303,1.9,1.3,2017-01-16,1257,Aqua,MODIS,0,6.03,289.6,12.1,D,0
33.1217,-4.8177,301.5,1.1,1,2017-01-17,1339,Aqua,MODIS,47,6.03,285.5,5.5,D,0
33.1605,-4.7528,311.6,1,1,2017-01-18,1108,Terra,MODIS,71,6.03,279.3,13.3,D,0
33.7383,-5.2608,301.1,1,1,2017-01-18,1108,Terra,MODIS,30,6.03,282.2,4.7,D,0
34.6619,-3.4518,340.9,1,1,2017-01-27,1102,Terra,MODIS,80,6.03,276.2,49.1,D,0
30.6002,-8.5562,309.2,1,1,2017-02-08,1128,Terra,MODIS,57,6.03,298,5.1,D,0
32.7407,-4.9161,312.5,1,1,2017-02-18,1340,Aqua,MODIS,68,6.03,298.3,6.4,D,0
32.4382,-6.5147,312.7,1,1,2017-02-18,1340,Aqua,MODIS,66,6.03,296.8,7.8,D,0
34.8543,-6.1003,300.9,1.6,1.2,2017-02-22,1138,Terra,MODIS,43,6.03,290.9,5,D,0
31.9741,-8.0087,320,1.2,1.1,2017-03-07,1109,Terra,MODIS,71,6.03,302.4,12.3,D,0
23.9609,-15.6921,310.6,1,1,2017-03-11,2321,Terra,MODIS,80,6.03,289.9,10.8,N,0
32.37,-6.4373,305,1,1,2017-03-14,1115,Terra,MODIS,48,6.03,293.3,4.6,D,0
35.223,-5.3849,314.4,1,1,2017-04-06,1120,Terra,MODIS,67,6.03,297.6,10.8,D,0
35.2056,-5.5337,306.4,1.4,1.2,2017-04-07,0238,Aqua,MODIS,68,6.03,286.5,15.3,N,0
35.4459,-6.0011,312.5,1.1,1,2017-04-08,1108,Terra,MODIS,65,6.03,301.5,5.4,D,0
33.041,-7.981,319.2,2.2,1.4,2017-04-27,1316,Aqua,MODIS,57,6.03,300.9,23.5,D,0
33.0457,-7.9583,353.8,2.2,1.4,2017-04-27,1316,Aqua,MODIS,97,6.03,302.4,192.5,D,0
33.0421,-7.9769,329.1,2.2,1.4,2017-04-27,1316,Aqua,MODIS,79,6.03,301.2,54.9,D,0
33.0468,-7.9542,350.8,2.2,1.4,2017-04-27,1316,Aqua,MODIS,95,6.03,302.1,169.5,D,0
34.0229,-5.6018,326.1,1.2,1.1,2017-05-03,1102,Terra,MODIS,65,6.03,308.6,12.7,D,0
34.8298,-6.0544,323.2,1.3,1.1,2017-05-03,1102,Terra,MODIS,66,6.03,308.9,12.6,D,0
34.0245,-5.615,324.6,1.2,1.1,2017-05-03,1102,Terra,MODIS,61,6.03,309.1,10.4,D,0
30.3708,-9.3924,326.2,1.1,1,2017-05-06,1134,Terra,MODIS,69,6.03,310.1,10.4,D,0
33.0351,-7.7988,340.1,1.1,1,2017-05-07,1352,Aqua,MODIS,83,6.03,317.8,27.9,D,0
33.038,-7.7762,376.5,1.1,1,2017-05-07,1352,Aqua,MODIS,100,6.03,317.2,132.8,D,0
