latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.4858,-8.2525,319.6,1.1,1,2020-01-02,1115,Terra,MODIS,79,6.03,293,16.8,D,0
32.8036,-4.0325,300.4,1,1,2020-01-04,1102,Terra,MODIS,36,6.03,289.5,3.2,D,0
31.0266,-8.63,307.1,1.6,1.3,2020-01-05,1145,Terra,MODIS,64,6.03,284.7,16.1,D,0
31.0269,-8.635,302.7,1.6,1.3,2020-01-05,1145,Terra,MODIS,19,6.03,285.1,9.6,D,0
35.425,-5.3271,310.6,1.5,1.2,2020-01-08,1352,Aqua,MODIS,40,6.03,287.7,17.2,D,0
33.7895,-5.4536,305.7,1.1,1,2020-01-12,1328,Aqua,MODIS,61,6.03,294.8,5.4,D,0
30.4946,-8.9168,314,1.1,1,2020-01-15,1357,Aqua,MODIS,72,6.03,299.5,9.1,D,0
33.3819,-7.4711,310.2,1.3,1.1,2020-01-15,1358,Aqua,MODIS,64,6.03,298.2,9,D,0
30.672,-8.4386,308.3,1,1,2020-01-16,1127,Terra,MODIS,54,6.03,293.9,5,D,0
32.8073,-4.0242,303.4,1.1,1,2020-01-18,1114,Terra,MODIS,56,6.03,292,3.8,D,0
30.0444,-9.533,310.1,1.2,1.1,2020-01-18,1115,Terra,MODIS,64,6.03,298.3,6.2,D,0
30.8606,-6.8863,309.6,1.1,1.1,2020-01-19,1333,Aqua,MODIS,58,6.03,297.3,5,D,0
34.3612,-3.2366,328.8,1.1,1,2020-01-19,1334,Aqua,MODIS,86,6.03,291.9,28.1,D,0
31.9898,-3.7628,309.6,1.1,1,2020-01-29,1056,Terra,MODIS,64,6.03,294.4,6.8,D,0
34.8577,-6.1018,301.1,1.6,1.2,2020-01-30,1139,Terra,MODIS,44,6.03,291,6.8,D,0
34.8545,-6.085,301.3,1.6,1.2,2020-01-30,1139,Terra,MODIS,46,6.03,290.8,7.3,D,0
30.6484,-8.246,314.4,1,1,2020-02-01,1128,Terra,MODIS,41,6.03,300.1,5.9,D,0
30.1831,-9.3455,324.9,1.1,1,2020-02-02,1345,Aqua,MODIS,73,6.03,308.9,11.5,D,0
