latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
33.366116,-7.748688,306.06,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,285.7,0.78,N,0
33.36673,-7.75288,296.92,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,285.12,0.82,N,2
33.906857,-6.040284,324.62,0.38,0.36,2018-01-01,0212,N,VIIRS,n,1,267.14,1.93,N,0
30.696577,-8.389579,332.41,0.39,0.36,2018-01-01,1330,N,VIIRS,n,1,301.55,2.56,D,0
33.414654,-7.812075,315.22,0.39,0.44,2018-01-02,0154,N,VIIRS,n,1,280.49,1.54,N,0
32.763603,-5.465106,335.29,0.42,0.38,2018-01-02,1312,N,VIIRS,n,1,303.96,5.08,D,0
35.066814,-3.814659,331.48,0.38,0.36,2018-01-02,1312,N,VIIRS,n,1,298.06,4.08,D,0
32.989838,-7.14811,303.13,0.33,0.55,2018-01-03,0136,N,VIIRS,n,1,281.19,0.86,N,2
33.908474,-5.49377,295.19,0.54,0.51,2018-01-03,0136,N,VIIRS,n,1,279.32,0.8,N,0
33.365948,-7.748014,295.77,0.58,0.69,2018-01-03,0312,N,VIIRS,n,1,281.49,0.62,N,0
34.596832,-2.346629,302.81,0.34,0.56,2018-01-04,0112,N,VIIRS,n,1,279.29,0.83,N,2
35.043316,-2.972881,342.63,0.54,0.51,2018-01-04,1236,N,VIIRS,n,1,296.7,7.17,D,0
33.366295,-7.751732,302.55,0.53,0.42,2018-01-05,0236,N,VIIRS,n,1,282,1.59,N,0
34.596748,-2.345633,305.21,0.32,0.55,2018-01-05,0236,N,VIIRS,n,1,277.66,0.63,N,2
35.112427,-5.742266,340.12,0.68,0.74,2018-01-05,1218,N,VIIRS,n,1,285.69,5.84,D,0
30.189026,-9.617225,345.73,0.46,0.39,2018-01-05,1354,N,VIIRS,n,1,296.69,11.29,D,0
35.538387,-5.501762,326.64,0.58,0.52,2018-01-05,1354,N,VIIRS,n,1,288.48,6.33,D,0
31.901253,-4.537902,335.34,0.5,0.41,2018-01-06,1336,N,VIIRS,n,1,291.53,2.54,D,0
34.59539,-2.346662,301.92,0.39,0.36,2018-01-07,0200,N,VIIRS,n,1,272.71,0.97,N,2
34.595921,-2.348278,296.53,0.47,0.4,2018-01-08,0142,N,VIIRS,n,1,268.33,0.66,N,2
33.909378,-5.496933,297.3,0.41,0.61,2018-01-09,0118,N,VIIRS,n,1,277.63,0.62,N,2
30.219919,-9.152287,297.21,0.41,0.45,2018-01-10,0242,N,VIIRS,n,1,282.33,0.62,N,2
