latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.4433,-9.0015,311.5,1.2,1.1,2019-01-03,1404,Aqua,MODIS,65,6.03,295.4,9.2,D,0
32.825,-4.96,304.3,1.4,1.2,2019-01-05,1352,Aqua,MODIS,53,6.03,292.8,5.7,D,2
31.6322,-6.4933,300.2,1.1,1,2019-01-08,1109,Terra,MODIS,23,6.03,284.3,6,D,0
34.5119,-5.9567,304.8,1.1,1,2019-01-09,1328,Aqua,MODIS,60,6.03,291.7,6.7,D,0
31.8399,-7.0581,301.5,1.6,1.2,2019-01-11,1140,Terra,MODIS,46,6.03,289.5,5.6,D,0
31.843,-7.0743,301.1,1.6,1.2,2019-01-11,1140,Terra,MODIS,43,6.03,289.3,5.4,D,0
34.3279,-6.3465,301.5,1.1,1,2019-01-13,1127,Terra,MODIS,42,6.03,291.4,3.8,D,0
32.9502,-6.2746,301.4,1,1,2019-01-16,1334,Aqua,MODIS,21,6.03,288.9,1.6,D,0
30.0525,-9.5441,306.2,1,1,2019-01-29,1128,Terra,MODIS,43,6.03,294.1,3.5,D,0
32.4532,-7.4494,311.7,1.1,1,2019-02-06,1352,Aqua,MODIS,0,6.03,301,4.3,D,0
32.4533,-6.0795,304,1,1,2019-02-07,1121,Terra,MODIS,49,6.03,291,6.1,D,0
34.5926,-2.3467,304.5,1,1,2019-02-11,1056,Terra,MODIS,52,6.03,293.4,4.2,D,0
30.0328,-9.5195,314.5,1,1,2019-02-14,1128,Terra,MODIS,58,6.03,303.8,4.8,D,0
35.8564,-5.5222,318.4,1.1,1,2019-02-24,1341,Aqua,MODIS,66,6.03,291.6,17,D,0
35.8578,-5.5107,310.5,1.1,1,2019-02-24,1341,Aqua,MODIS,39,6.03,291.2,10,D,0
34.4015,-5.4765,310.8,1.1,1,2019-02-26,1328,Aqua,MODIS,60,6.03,299.3,6.7,D,0
34.3997,-5.4878,310,1.1,1,2019-02-26,1328,Aqua,MODIS,58,6.03,299.1,6.1,D,0
33.5546,-4.9572,317.7,1.3,1.1,2019-03-02,1127,Terra,MODIS,75,6.03,293.3,19.1,D,0
34.2248,-3.9331,307,1.4,1.2,2019-03-09,1310,Aqua,MODIS,56,6.03,293.5,8.1,D,0
30.2212,-9.5169,323.5,1,1,2019-03-11,1122,Terra,MODIS,73,6.03,300.5,13.3,D,0
30.0374,-9.5184,314.6,1,1,2019-03-11,1122,Terra,MODIS,35,6.03,302.6,4.5,D,0
35.0116,-4.067,313.8,1,1,2019-03-13,1108,Terra,MODIS,63,6.03,298.4,5.8,D,0
34.577,-6.2211,313.9,1.1,1,2019-03-14,1328,Aqua,MODIS,59,6.03,298.6,9.2,D,0
34.9318,-4.0944,314.9,2.1,1.4,2019-03-16,1139,Terra,MODIS,61,6.03,299.7,21.2,D,0
34.8003,-6.1402,315.4,1.1,1.1,2019-03-19,1347,Aqua,MODIS,64,6.03,302.6,7.3,D,0
35.3148,-5.4733,304.5,1,1,2019-03-20,1114,Terra,MODIS,47,6.03,292.4,4.8,D,0
34.9837,-5.9262,310.8,1,1,2019-03-20,1114,Terra,MODIS,61,6.03,297.9,6.1,D,0
32.722,-5.6623,317.4,1,1,2019-03-20,1115,Terra,MODIS,68,6.03,297.4,11.8,D,0
