latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.6037,-8.2522,312.8,1,1,2011-01-08,1346,Aqua,MODIS,64,6.03,300.5,6.3,D,0
29.8201,-9.4374,314.4,1,1,2011-01-15,1352,Aqua,MODIS,70,6.03,302.3,5.3,D,0
31.623,-8.0747,306.8,1.5,1.2,2011-01-19,1328,Aqua,MODIS,51,6.03,295.1,5.7,D,2
32.4549,-6.8043,301.6,1,1,2011-01-24,1346,Aqua,MODIS,13,6.03,289.6,2.8,D,0
34.134,-6.2888,311.2,1.1,1,2011-02-09,1347,Aqua,MODIS,69,6.03,293.5,9.4,D,0
34.9378,-4.8152,307.2,3,1.7,2011-02-10,1252,Aqua,MODIS,65,6.03,290.1,39.6,D,0
34.9459,-4.7803,306.4,3,1.6,2011-02-10,1252,Aqua,MODIS,63,6.03,289.8,38.1,D,0
34.8835,-2.6542,301.3,1.1,1,2011-02-21,1055,Terra,MODIS,35,6.03,287.5,4,D,0
33.392,-5.4052,313.8,1.5,1.2,2011-03-03,1132,Terra,MODIS,74,6.03,289.8,21.3,D,0
33.3867,-5.3965,302.2,1.5,1.2,2011-03-03,1132,Terra,MODIS,15,6.03,290.2,6.2,D,0
33.3896,-5.4124,301.6,1.5,1.2,2011-03-03,1132,Terra,MODIS,12,6.03,289.5,5.7,D,0
32.3139,-7.0337,302.2,1.5,1.2,2011-03-17,1322,Aqua,MODIS,33,6.03,290.1,3.3,D,0
33.6852,-7.4322,310.5,1.1,1.1,2011-03-20,1353,Aqua,MODIS,37,6.03,298,5.3,D,2
33.4463,-7.8564,309,1,1,2011-03-21,1120,Terra,MODIS,55,6.03,297.8,4.8,D,0
33.4613,-7.8973,311.2,1,1,2011-03-21,1120,Terra,MODIS,62,6.03,299.3,5.4,D,0
33.5716,-7.5174,308.7,1,1,2011-03-24,0227,Aqua,MODIS,75,6.03,285.7,10.8,N,2
33.5701,-7.5067,300.4,1,1,2011-03-24,0227,Aqua,MODIS,27,6.03,284.5,6,N,2
34.9453,-6.246,309.8,1.1,1,2011-03-28,1126,Terra,MODIS,59,6.03,296.9,5.6,D,0
34.7256,-3.1077,325.5,1,1,2011-04-01,1101,Terra,MODIS,75,6.03,310.6,12.6,D,0
34.7306,-6.1322,316.9,1.1,1,2011-04-08,1108,Terra,MODIS,63,6.03,304.7,7.8,D,2
34.7487,-3.3365,331.1,1,1,2011-04-09,1328,Aqua,MODIS,78,6.03,310.1,15.5,D,0
35.3571,-5.578,323.4,1.5,1.2,2011-04-10,1055,Terra,MODIS,76,6.03,295.7,31.7,D,0
34.987,-5.9371,319.8,1.1,1.1,2011-04-14,1347,Aqua,MODIS,64,6.03,306,9,D,0
34.9802,-5.9638,312.3,1.8,1.3,2011-04-20,1310,Aqua,MODIS,44,6.03,295.9,11.3,D,0
33.8266,-5.5252,317.9,1.1,1,2011-04-25,1328,Aqua,MODIS,74,6.03,297.9,11.7,D,0
34.4203,-5.9089,311.9,1.5,1.2,2011-04-26,1056,Terra,MODIS,59,6.03,296.2,11.3,D,0
34.805,-6.0735,321.6,1.6,1.2,2011-04-27,1138,Terra,MODIS,78,6.03,303.2,23.6,D,0
34.9949,-5.938,317.2,1.7,1.3,2011-04-28,1359,Aqua,MODIS,68,6.03,298.8,16.4,D,0
34.8012,-6.0872,312.5,1,1,2011-05-08,1120,Terra,MODIS,54,6.03,301.9,4.8,D,0
34.7995,-6.0763,319.3,1,1,2011-05-08,1120,Terra,MODIS,71,6.03,303,10.9,D,0
34.3378,-6.4406,317.5,1,1,2011-05-08,1120,Terra,MODIS,57,6.03,304.3,7.8,D,0
33.8234,-5.526,317.6,1.1,1,2011-05-08,1120,Terra,MODIS,62,6.03,304.6,6.9,D,0
34.9763,-5.9262,312.5,3.9,1.8,2011-05-09,1203,Terra,MODIS,54,6.03,301.6,35.5,D,0
34.978,-5.9328,327.1,1,1,2011-05-09,1340,Aqua,MODIS,73,6.03,312.2,13.4,D,0
34.5442,-6.0046,323.2,1,1,2011-06-02,1114,Terra,MODIS,59,6.03,308.4,7.8,D,0
34.9537,-6.2056,321.5,1,1,2011-06-09,1120,Terra,MODIS,45,6.03,303.7,8,D,0
33.213,-8.5022,315.9,3,1.6,2011-06-10,1203,Terra,MODIS,29,6.03,297.9,36.4,D,2
33.2136,-8.4969,318.8,3,1.6,2011-06-10,1203,Terra,MODIS,59,6.03,298.1,48.2,D,2
33.2061,-8.4713,317.5,3,1.6,2011-06-10,1203,Terra,MODIS,51,6.03,299.5,42.1,D,0
32.319,-6.6693,324.7,1,1,2011-06-10,1339,Aqua,MODIS,63,6.03,311.6,5.9,D,0
33.613,-7.1527,321.4,1,1,2011-06-10,1340,Aqua,MODIS,50,6.03,307,6.6,D,0
32.4221,-8.449,304.3,1.1,1.1,2011-06-12,2252,Terra,MODIS,59,6.03,291.1,7.2,N,0
34.6372,-2.6596,351.8,1.7,1.3,2011-06-17,1346,Aqua,MODIS,94,6.03,319.7,88.2,D,0
34.6258,-2.6586,363.2,1.7,1.3,2011-06-17,1346,Aqua,MODIS,100,6.03,318.3,148.9,D,0
34.6275,-2.6409,384.5,1.7,1.3,2011-06-17,1346,Aqua,MODIS,100,6.03,317.8,314.3,D,0
34.6389,-2.6421,353.3,1.7,1.3,2011-06-17,1346,Aqua,MODIS,95,6.03,318.9,97.1,D,0
34.6344,-2.6599,308.9,1.5,1.2,2011-06-18,0148,Aqua,MODIS,76,6.03,293.3,14.8,N,0
34.6326,-2.6434,303.5,1.5,1.2,2011-06-18,0148,Aqua,MODIS,55,6.03,293.1,8.6,N,0
32.8481,-6.5505,333.4,1.3,1.1,2011-06-20,1102,Terra,MODIS,74,6.03,316.9,12.8,D,0
