latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.9207,-4.3013,312,1.1,1,2014-01-04,1322,Aqua,MODIS,72,6.03,287.8,13.4,D,0
31.8295,-7.0683,306.5,1.6,1.2,2014-01-05,1404,Aqua,MODIS,22,6.03,296.1,4,D,0
33.8249,-6.8969,305.9,1.2,1.1,2014-01-07,1353,Aqua,MODIS,51,6.03,295.9,5.5,D,2
33.8264,-6.8844,307.8,1.2,1.1,2014-01-07,1353,Aqua,MODIS,58,6.03,296,7.1,D,0
30.112,-9.4768,309.9,1,1,2014-01-08,1122,Terra,MODIS,62,6.03,299.3,4.3,D,0
30.1721,-9.3518,307.3,1.4,1.2,2014-01-26,1109,Terra,MODIS,42,6.03,295.4,5.5,D,0
34.4998,-4.2496,303.2,1.2,1.1,2014-02-09,1120,Terra,MODIS,55,6.03,287.7,6.6,D,0
34.0953,-5.5429,305.8,1.1,1,2014-02-09,1120,Terra,MODIS,62,6.03,287.4,7.8,D,0
32.9912,-4.0086,305.5,1,1,2014-02-11,1108,Terra,MODIS,62,6.03,291.3,5,D,0
34.5633,-2.9903,302.5,1,1,2014-02-11,1108,Terra,MODIS,52,6.03,287.8,4.7,D,0
28.524,-10.9953,317.9,1,1,2014-02-15,1358,Aqua,MODIS,63,6.03,298.3,8.8,D,0
35.6854,-5.3678,312.9,1.1,1,2014-02-26,1341,Aqua,MODIS,49,6.03,288.2,12.5,D,0
32.7638,-3.8433,311.6,1.9,1.3,2014-03-04,1303,Aqua,MODIS,63,6.03,298.3,15.1,D,0
35.2706,-5.2014,302.4,1,1,2014-03-15,1108,Terra,MODIS,29,6.03,292,3.8,D,0
35.2744,-5.1916,301.6,2.7,1.6,2014-03-16,1150,Terra,MODIS,42,6.03,290.5,17.9,D,0
35.2025,-5.1134,306.4,1,1,2014-03-16,1329,Aqua,MODIS,35,6.03,292.6,6.1,D,0
35.2722,-5.2054,309.9,1,1,2014-03-16,1329,Aqua,MODIS,57,6.03,294.7,7,D,0
35.2008,-5.1245,306.7,1,1,2014-03-16,1329,Aqua,MODIS,40,6.03,293.2,6.5,D,0
35.3091,-5.4793,308.2,1.4,1.2,2014-03-18,1317,Aqua,MODIS,64,6.03,289.7,10.5,D,0
30.1867,-9.3616,323.6,1,1,2014-03-19,1358,Aqua,MODIS,65,6.03,310.3,7.6,D,0
35.2643,-5.2026,313.3,1.1,1.1,2014-03-25,1323,Aqua,MODIS,66,6.03,299.5,9,D,0
29.1301,-8.944,320.7,1,1,2014-03-29,1122,Terra,MODIS,74,6.03,289.3,13.2,D,0
29.1855,-8.9618,330.3,1.5,1.2,2014-04-08,1334,Aqua,MODIS,59,6.03,310.9,26.1,D,0
