latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.0782,-5.3887,303,1,1,2015-01-05,1335,Aqua,MODIS,54,6.03,291.9,4.5,D,0
35.0798,-5.3779,302.6,1,1,2015-01-05,1335,Aqua,MODIS,53,6.03,290.8,4.3,D,0
32.0765,-6.6587,312.3,1.2,1.1,2015-01-10,1352,Aqua,MODIS,58,6.03,293.6,11.2,D,0
32.9041,-8.0657,302.7,1.1,1,2015-01-26,1353,Aqua,MODIS,53,6.03,292.2,4,D,0
30.6633,-6.5506,332.1,1,1,2015-01-28,1340,Aqua,MODIS,84,6.03,303.4,25.3,D,0
32.8236,-4.9442,300.8,1,1,2015-01-30,1328,Aqua,MODIS,28,6.03,286.8,2.7,D,0
34.593,-2.9651,304.6,1.5,1.2,2015-02-03,1304,Aqua,MODIS,55,6.03,292.9,6.9,D,0
33.109,-5.4606,301.4,1.1,1,2015-02-28,1121,Terra,MODIS,42,6.03,289.8,4.8,D,0
33.4623,-7.8955,313.2,1,1,2015-03-07,1127,Terra,MODIS,64,6.03,299.4,7,D,0
35.162,-5.4735,312.8,1.2,1.1,2015-03-08,1347,Aqua,MODIS,66,6.03,300.7,8.2,D,0
33.441,-6.6241,314.2,1,1,2015-03-10,1335,Aqua,MODIS,58,6.03,303,6.3,D,0
34.3537,-6.2471,314.3,1,1,2015-03-16,1121,Terra,MODIS,62,6.03,299.2,10.3,D,0
34.3511,-6.2512,312.3,1,1,2015-04-01,1121,Terra,MODIS,45,6.03,301.3,5.4,D,0
35.5013,-5.7682,303.1,1.3,1.1,2015-04-02,0239,Aqua,MODIS,53,6.03,287.3,10.5,N,0
35.0967,-5.3842,315.8,1.2,1.1,2015-04-28,1102,Terra,MODIS,65,6.03,294.6,12.9,D,0
35.0934,-5.3777,311.7,1.2,1.1,2015-04-28,1102,Terra,MODIS,49,6.03,295.7,8.5,D,0
35.6533,-5.3865,316.7,1,1,2015-05-03,1120,Terra,MODIS,65,6.03,302,6.8,D,0
34.411,-6.1421,321.4,2.5,1.5,2015-05-06,1151,Terra,MODIS,69,6.03,300.3,48.5,D,2
33.8249,-5.5242,320.9,1.1,1,2015-05-06,1329,Aqua,MODIS,52,6.03,308.2,6.3,D,0
29.2986,-8.6284,316.2,1.2,1.1,2015-05-08,0216,Aqua,MODIS,93,6.03,294.6,17.1,N,0
29.2889,-8.6301,306.1,1.2,1.1,2015-05-08,0216,Aqua,MODIS,67,6.03,294.7,7.9,N,0
29.2874,-8.618,307.9,1.2,1.1,2015-05-08,0216,Aqua,MODIS,73,6.03,295.4,9.3,N,0
29.2971,-8.6161,310.1,1.2,1.1,2015-05-08,0216,Aqua,MODIS,79,6.03,295.3,10.5,N,0
33.1233,-7.5916,331.9,1.1,1,2015-05-12,1115,Terra,MODIS,61,6.03,319.7,10.2,D,0
33.1218,-7.5804,339.7,1.1,1,2015-05-12,1115,Terra,MODIS,80,6.03,320.5,22.3,D,0
