latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.8051,-4.0438,301,1,1,2012-01-05,1108,Terra,MODIS,22,6.03,288.9,4.1,D,0
31.9186,-4.4097,305.6,1.2,1.1,2012-01-07,1056,Terra,MODIS,62,6.03,288.7,8.3,D,0
35.0187,-2.8324,306.4,1.5,1.2,2012-01-10,1303,Aqua,MODIS,63,6.03,289.9,12.1,D,0
34.6373,-4.4723,300.2,1,1,2012-01-12,1114,Terra,MODIS,18,6.03,287,3.9,D,0
34.6936,-4.4774,304.9,1,1,2012-01-12,1114,Terra,MODIS,57,6.03,286,6,D,0
32.4403,-5.5865,301.5,1,1,2012-01-13,1333,Aqua,MODIS,36,6.03,289.9,2.7,D,0
32.2414,-5.3742,300.4,1,1,2012-01-13,1333,Aqua,MODIS,22,6.03,288.9,5.6,D,0
34.8024,-5.2191,300.8,1.1,1.1,2012-01-15,1322,Aqua,MODIS,27,6.03,282.3,5.5,D,0
31.442,-4.2233,305.4,1.7,1.3,2012-01-17,1308,Aqua,MODIS,52,6.03,281.5,14.9,D,2
30.7928,-8.6277,315.6,1,1,2012-01-18,1351,Aqua,MODIS,73,6.03,297.7,10.6,D,0
35.0207,-2.8262,300.3,1.3,1.1,2012-01-19,1120,Terra,MODIS,34,6.03,286.3,7.6,D,0
34.3075,-6.5966,303.3,1.1,1.1,2012-01-21,1108,Terra,MODIS,0,6.03,288.1,6.2,D,2
34.742,-3.122,315.7,1,1,2012-02-07,1328,Aqua,MODIS,76,6.03,291.1,13.2,D,0
34.7405,-3.1329,312.1,1,1,2012-02-07,1328,Aqua,MODIS,72,6.03,291.6,10.3,D,0
31.2858,-8.3037,301.3,2.5,1.5,2012-02-09,1315,Aqua,MODIS,23,6.03,286.8,8.2,D,0
35.3692,-5.967,301.7,1.1,1,2012-02-11,1126,Terra,MODIS,48,6.03,286.6,5.7,D,0
35.3631,-5.4779,307.5,1.2,1.1,2012-02-12,1347,Aqua,MODIS,66,6.03,290.6,10.4,D,0
33.8886,-4.2373,307.9,1.1,1,2012-02-16,1322,Aqua,MODIS,65,6.03,289.8,8.5,D,0
33.5476,-7.4913,303.2,1.2,1.1,2012-02-18,1133,Terra,MODIS,54,6.03,291.5,3.7,D,0
34.7615,-3.9504,303.9,1.2,1.1,2012-02-21,1340,Aqua,MODIS,29,6.03,290.1,4.1,D,0
35.2856,-4.9716,312.3,1.9,1.4,2012-02-26,1359,Aqua,MODIS,62,6.03,300.2,16.7,D,0
35.2873,-4.9517,312.1,1.9,1.4,2012-02-26,1359,Aqua,MODIS,48,6.03,298.6,18.3,D,0
32.5758,-6.6563,312.2,1.3,1.1,2012-03-05,1133,Terra,MODIS,59,6.03,300.7,7.8,D,0
34.496,-4.1329,302,2.3,1.5,2012-03-07,1257,Aqua,MODIS,13,6.03,290.6,9.8,D,0
31.6264,-9.6236,318.2,1.2,1.1,2012-03-08,1340,Aqua,MODIS,49,6.03,305.1,10,D,0
31.5387,-7.5844,316.8,1.4,1.2,2012-03-10,1327,Aqua,MODIS,46,6.03,305.7,9.5,D,0
35.0206,-4.0498,326.8,1,1,2012-03-10,1328,Aqua,MODIS,78,6.03,291.9,23.3,D,0
28.8457,-10.4477,331.9,1.2,1.1,2012-03-11,1409,Aqua,MODIS,77,6.03,313.6,15.9,D,0
35.035,-5.675,306,1.7,1.3,2012-03-12,1138,Terra,MODIS,43,6.03,295.5,9.3,D,0
35.0951,-5.3482,318.4,1.2,1.1,2012-03-12,2241,Terra,MODIS,97,6.03,284.1,25.9,N,0
35.0967,-5.335,315.9,1.2,1.1,2012-03-12,2241,Terra,MODIS,92,6.03,284.4,23.2,N,0
35.0995,-5.3418,304.5,2.7,1.6,2012-03-13,0256,Aqua,MODIS,60,6.03,282.3,38.9,N,0
35.1026,-5.3334,307.7,2.7,1.6,2012-03-13,0256,Aqua,MODIS,72,6.03,282.1,50.5,N,0
34.9047,-4.7278,312.3,1.9,1.4,2012-03-14,1303,Aqua,MODIS,54,6.03,298.1,14.4,D,0
35.7415,-5.756,315.7,1,1,2012-03-14,2229,Terra,MODIS,89,6.03,284.9,16.5,N,0
34.9632,-4.7431,329.9,1.1,1,2012-03-19,1322,Aqua,MODIS,83,6.03,297.6,27.7,D,0
30.415,-9.531,328.7,1.1,1.1,2012-03-20,1404,Aqua,MODIS,74,6.03,309.4,16.9,D,0
30.347,-9.5126,321.8,1,1,2012-04-30,1358,Aqua,MODIS,51,6.03,306.6,7.2,D,2
30.7864,-9.1981,352.6,1,1,2012-05-09,1352,Aqua,MODIS,95,6.03,311.2,49.5,D,0
30.7849,-9.2084,431.5,1,1,2012-05-09,1352,Aqua,MODIS,94,6.03,322.2,482.9,D,0
29.488,-8.712,301.9,2.5,1.5,2012-05-10,0157,Aqua,MODIS,45,6.03,289.7,17.6,N,0
33.8295,-5.5234,323.6,1.1,1,2012-05-10,1120,Terra,MODIS,53,6.03,310.9,8,D,0
33.5709,-7.5024,335.1,1,1,2012-05-10,1121,Terra,MODIS,78,6.03,310.5,18.7,D,2
33.5725,-7.513,340.2,1,1,2012-05-10,1121,Terra,MODIS,84,6.03,311.6,26.4,D,2
35.2071,-4.983,320.6,1.1,1,2012-05-11,1341,Aqua,MODIS,37,6.03,307.8,6.5,D,0
34.983,-4.879,326.5,1.3,1.1,2012-05-15,1316,Aqua,MODIS,35,6.03,308.3,16.2,D,0
34.9906,-4.8948,330.9,1.3,1.1,2012-05-15,1316,Aqua,MODIS,53,6.03,310.5,24.9,D,0
34.9805,-4.8933,327.9,1.3,1.1,2012-05-15,1316,Aqua,MODIS,50,6.03,309.9,17.9,D,0
27.1182,-13.2042,300.8,1.1,1,2012-05-20,2257,Terra,MODIS,34,6.03,287.1,6,N,0
34.7422,-2.7675,327.6,3.2,1.7,2012-05-22,1144,Terra,MODIS,74,6.03,307,88.6,D,0
34.7497,-2.8,323.5,3.2,1.7,2012-05-22,1144,Terra,MODIS,59,6.03,308.3,55.6,D,0
34.7478,-2.7955,330.6,3.2,1.7,2012-05-22,1144,Terra,MODIS,71,6.03,307.9,103.1,D,0
34.7402,-2.7634,328.4,3.2,1.7,2012-05-22,1144,Terra,MODIS,75,6.03,306.7,95.5,D,0
34.7389,-2.7865,346.8,1,1,2012-05-22,1322,Aqua,MODIS,91,6.03,315.9,38.9,D,0
34.7415,-6.0967,327.5,1.3,1.1,2012-05-22,1322,Aqua,MODIS,75,6.03,310.4,17,D,0
34.73,-2.7846,347.7,1,1,2012-05-22,1322,Aqua,MODIS,92,6.03,314.4,41,D,0
34.7285,-2.7954,332.7,1,1,2012-05-22,1322,Aqua,MODIS,73,6.03,314.1,15.6,D,0
30.9604,-9.5644,331.4,1,1,2012-05-25,1352,Aqua,MODIS,72,6.03,312.2,14.6,D,0
30.9589,-9.5748,334.8,1,1,2012-05-25,1352,Aqua,MODIS,78,6.03,313.9,19.2,D,0
35.0418,-5.8796,319.6,1,1,2012-05-26,1120,Terra,MODIS,63,6.03,303.3,6.1,D,0
32.7826,-7.1211,324.6,1,1,2012-05-26,1121,Terra,MODIS,60,6.03,308,7.6,D,0
34.5189,-6.1108,328.9,1.5,1.2,2012-05-30,1055,Terra,MODIS,72,6.03,308.5,20.6,D,0
34.5172,-6.0941,332.3,1.5,1.2,2012-05-30,1055,Terra,MODIS,77,6.03,308.9,28.5,D,0
34.6514,-6.2155,325.7,1,1,2012-06-04,1114,Terra,MODIS,62,6.03,307.7,8,D,0
35.0798,-6.1825,325.3,1,1,2012-06-04,1114,Terra,MODIS,68,6.03,308.6,8.5,D,0
35.07,-6.2065,331.8,1,1,2012-06-05,1334,Aqua,MODIS,58,6.03,310.6,12.9,D,0
35.1,-6.1907,326.4,1,1,2012-06-05,1334,Aqua,MODIS,51,6.03,311.2,6.8,D,0
34.9986,-3.5836,335.9,1,1,2012-06-07,1322,Aqua,MODIS,79,6.03,311.5,20.2,D,0
32.4206,-8.4465,307.2,1,1,2012-06-07,2246,Terra,MODIS,71,6.03,289.1,9.2,N,0
30.6109,-9.5924,353,1.3,1.1,2012-06-15,1410,Aqua,MODIS,95,6.03,309.2,85.3,D,0
30.6123,-9.5793,328.2,1.3,1.1,2012-06-15,1410,Aqua,MODIS,53,6.03,308.4,19.6,D,0
34.5227,-6.0755,327.3,2.4,1.5,2012-06-18,1304,Aqua,MODIS,68,6.03,301.4,37,D,0
34.5147,-6.0686,327.3,2.4,1.5,2012-06-18,1304,Aqua,MODIS,70,6.03,301.8,32.6,D,0
34.5102,-5.9712,326.2,1,1,2012-06-20,1114,Terra,MODIS,26,6.03,309.6,7.2,D,0
35.1635,-2.8055,313.3,1,1,2012-06-22,1101,Terra,MODIS,48,6.03,303,8.2,D,3
34.6006,-6.1256,328.1,1,1,2012-06-27,1120,Terra,MODIS,43,6.03,308.2,7.4,D,0
33.8666,-5.3311,332,1,1,2012-06-29,1108,Terra,MODIS,70,6.03,313.9,12.5,D,0
35.859,-5.4021,348.4,4.6,2,2012-06-29,1424,Aqua,MODIS,71,6.03,297.8,490.9,D,0
35.8581,-5.392,358.7,4.6,2,2012-06-29,1424,Aqua,MODIS,75,6.03,298.3,707.1,D,0
35.8414,-5.3984,310.1,4.6,2,2012-06-29,1424,Aqua,MODIS,20,6.03,297.3,45,D,0
35.1295,-2.9788,306.9,1.3,1.1,2012-06-30,0226,Aqua,MODIS,69,6.03,293,9.2,N,0
29.877,-9.13,329.9,1,1,2012-07-04,1128,Terra,MODIS,64,6.03,309.9,11.1,D,0
35.154,-5.1345,322.1,1.6,1.3,2012-07-08,2204,Terra,MODIS,100,6.03,288.3,42.4,N,0
35.1563,-5.1324,300.4,1,1,2012-07-09,0220,Aqua,MODIS,27,6.03,289.5,3.9,N,0
30.3767,-9.5329,315.9,1,1,2012-07-09,2246,Terra,MODIS,92,6.03,292.6,13.9,N,2
30.3773,-9.5197,332.6,2.4,1.5,2012-07-10,0304,Aqua,MODIS,100,6.03,290.7,120,N,2
30.3823,-9.544,308.3,2.4,1.5,2012-07-10,0304,Aqua,MODIS,74,6.03,289.6,32.7,N,0
35.521,-5.3531,309.8,1.2,1.1,2012-07-11,0207,Aqua,MODIS,78,6.03,293,12.6,N,0
33.918,-5.3014,304.1,1,1,2012-07-11,2234,Terra,MODIS,58,6.03,291.1,5.8,N,0
34.979,-2.3877,332.3,1,1,2012-07-15,1108,Terra,MODIS,70,6.03,313.8,15.6,D,0
33.8479,-5.2042,335.5,1,1,2012-07-15,1108,Terra,MODIS,75,6.03,316,16.7,D,0
35.5522,-5.7749,322.2,1.5,1.2,2012-07-17,1055,Terra,MODIS,75,6.03,300.6,22.5,D,0
35.5378,-5.7841,372.9,2.7,1.6,2012-07-17,1411,Aqua,MODIS,0,6.03,306.5,507.9,D,0
35.5519,-5.7882,344.6,2.7,1.6,2012-07-17,1411,Aqua,MODIS,0,6.03,302.1,186.4,D,0
35.7134,-5.6287,320.3,2.1,1.4,2012-07-17,2158,Terra,MODIS,100,6.03,294.3,52.1,N,0
35.5591,-5.7899,320.4,2.2,1.4,2012-07-17,2158,Terra,MODIS,100,6.03,293.7,54,N,0
35.7183,-5.6322,305.2,1.1,1,2012-07-18,0213,Aqua,MODIS,23,6.03,293.7,6.7,N,0
35.5618,-5.7697,304.6,1.1,1,2012-07-18,0214,Aqua,MODIS,61,6.03,291.7,5.9,N,0
35.5526,-5.7717,303.5,1.1,1,2012-07-18,0214,Aqua,MODIS,55,6.03,292,5.2,N,0
35.5541,-5.7831,302.6,1.1,1,2012-07-18,0214,Aqua,MODIS,46,6.03,291.9,4.5,N,0
35.5633,-5.7812,316.8,1.1,1,2012-07-18,0214,Aqua,MODIS,94,6.03,292.8,15.7,N,0
34.5612,-6.2466,373.8,1.6,1.2,2012-07-18,1138,Terra,MODIS,100,6.03,317.5,215.9,D,0
35.6695,-5.9379,363.8,1.6,1.2,2012-07-18,1138,Terra,MODIS,100,6.03,309.2,160.6,D,0
35.6727,-5.9545,327.3,1.5,1.2,2012-07-18,1138,Terra,MODIS,56,6.03,306.2,24.5,D,0
34.7434,-4.5306,334.8,2,1.4,2012-07-18,1138,Terra,MODIS,77,6.03,310.9,56.4,D,0
35.7147,-5.6328,322.5,1.6,1.2,2012-07-18,1138,Terra,MODIS,75,6.03,305.9,20.6,D,0
35.5452,-5.7878,321,1.4,1.2,2012-07-18,1316,Aqua,MODIS,31,6.03,308.6,13.3,D,0
35.5557,-5.79,326.3,1.4,1.2,2012-07-18,1316,Aqua,MODIS,70,6.03,305,22.4,D,0
35.548,-5.7728,321.2,1.4,1.2,2012-07-18,1316,Aqua,MODIS,59,6.03,306.3,13.9,D,0
35.6721,-5.9614,322.6,1.4,1.2,2012-07-18,1316,Aqua,MODIS,0,6.03,307.1,9.3,D,0
35.6749,-5.946,333.2,1.4,1.2,2012-07-18,1316,Aqua,MODIS,80,6.03,310.4,31.2,D,0
35.6617,-5.9584,325.6,1.4,1.2,2012-07-18,1316,Aqua,MODIS,59,6.03,309,15.7,D,0
35.6646,-5.943,339.4,1.4,1.2,2012-07-18,1316,Aqua,MODIS,89,6.03,310.7,47.8,D,0
35.5592,-5.8031,320,1.2,1.1,2012-07-18,2241,Terra,MODIS,100,6.03,297.1,20.4,N,0
35.5674,-5.8169,307.5,1.2,1.1,2012-07-18,2241,Terra,MODIS,54,6.03,296.1,8,N,0
34.7049,-5.6471,328.7,1.2,1.1,2012-07-18,2241,Terra,MODIS,100,6.03,300.6,29.5,N,0
35.565,-5.7979,331.2,1.7,1.3,2012-07-19,1359,Aqua,MODIS,79,6.03,312.9,30.2,D,0
35.5634,-5.8153,347.6,1.7,1.3,2012-07-19,1359,Aqua,MODIS,82,6.03,316.5,90.2,D,0
35.5534,-5.7971,346.1,1.7,1.3,2012-07-19,1359,Aqua,MODIS,81,6.03,318.2,82.1,D,0
34.9534,-5.5332,331.5,1.8,1.3,2012-07-19,1359,Aqua,MODIS,64,6.03,316.8,23.4,D,0
35.5538,-5.5552,325.7,2.1,1.4,2012-07-20,1304,Aqua,MODIS,52,6.03,309.2,22.4,D,0
35.5598,-5.7667,309.3,1,1,2012-07-20,2229,Terra,MODIS,66,6.03,296.1,8.2,N,0
35.5599,-5.5694,306.3,1,1,2012-07-20,2229,Terra,MODIS,68,6.03,294.7,5.9,N,0
35.5537,-5.77,305.7,1.6,1.2,2012-07-21,0244,Aqua,MODIS,65,6.03,294.2,12.6,N,0
32.3729,-8.6573,342.2,1,1,2012-07-21,1346,Aqua,MODIS,83,6.03,323.5,16.2,D,2
35.5622,-5.5686,359.7,1.2,1.1,2012-07-21,1347,Aqua,MODIS,99,6.03,318.4,85.1,D,0
35.0524,-4.1527,333.7,1.4,1.2,2012-07-21,1347,Aqua,MODIS,65,6.03,318.9,15.6,D,0
35.5637,-5.5558,377.1,1.2,1.1,2012-07-21,1347,Aqua,MODIS,100,6.03,317.7,159,D,0
35.551,-5.5798,329.8,1.2,1.1,2012-07-21,1347,Aqua,MODIS,83,6.03,314.3,10.6,D,0
35.5525,-5.5665,385.7,1.2,1.1,2012-07-21,1347,Aqua,MODIS,100,6.03,323.2,206.4,D,0
35.553,-5.7591,337.9,1.2,1.1,2012-07-21,1347,Aqua,MODIS,78,6.03,314.1,27.1,D,0
35.5514,-5.7726,362.1,1.2,1.1,2012-07-21,1347,Aqua,MODIS,100,6.03,319.4,92.8,D,0
35.5626,-5.761,330.1,1.2,1.1,2012-07-21,1347,Aqua,MODIS,39,6.03,316.9,12.7,D,0
35.561,-5.7748,354.2,1.2,1.1,2012-07-21,1347,Aqua,MODIS,97,6.03,318.9,66.1,D,0
35.5656,-5.5632,337.7,1.2,1.1,2012-07-21,1347,Aqua,MODIS,88,6.03,316.5,26.5,D,0
35.5541,-5.5533,341,1.2,1.1,2012-07-21,1347,Aqua,MODIS,90,6.03,317.1,31.7,D,0
32.4234,-8.4492,301.1,1,1,2012-07-25,2246,Terra,MODIS,38,6.03,290.7,5.6,N,0
