latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
30.1818,-9.6147,313.7,1,1,2018-01-02,1351,Aqua,MODIS,56,6.03,301.5,5.8,D,0
31.3645,-9.2208,311,1,1,2018-01-02,1352,Aqua,MODIS,56,6.03,299.7,5.5,D,0
35.0513,-3.9969,305.9,1.1,1.1,2018-01-03,1120,Terra,MODIS,62,6.03,295.1,5.2,D,0
31.4736,-4.1956,329.1,1.2,1.1,2018-01-11,1346,Aqua,MODIS,83,6.03,297.5,30.6,D,0
34.8176,-3.4001,322.3,1.3,1.2,2018-01-16,1050,Terra,MODIS,82,6.03,285.6,32.7,D,0
32.6415,-3.6905,303,1.1,1.1,2018-01-20,1340,Aqua,MODIS,34,6.03,291,5.6,D,0
32.0962,-2.9027,307.8,1.8,1.3,2018-01-26,1127,Terra,MODIS,64,6.03,291.4,15.1,D,0
32.0926,-2.8843,310.5,1.8,1.3,2018-01-26,1127,Terra,MODIS,68,6.03,291.6,19.8,D,0
30.642,-8.446,307.4,1.1,1,2018-01-28,1115,Terra,MODIS,54,6.03,292.7,7.2,D,0
30.6088,-8.5418,300.8,1,1,2018-01-29,0233,Aqua,MODIS,34,6.03,275.4,9.3,N,0
35.3747,-5.9679,306.9,1.1,1,2018-02-11,1126,Terra,MODIS,64,6.03,287.6,9.1,D,0
35.1087,-5.74,303.8,1.2,1.1,2018-02-16,1322,Aqua,MODIS,57,6.03,290.3,7.1,D,0
31.5312,-9.6671,314.5,1,1,2018-02-19,1352,Aqua,MODIS,50,6.03,297.8,7.4,D,0
31.5223,-9.6653,324.8,1,1,2018-02-19,1352,Aqua,MODIS,79,6.03,298.7,17.4,D,0
35.0843,-5.5677,306.8,1,1,2018-02-23,1329,Aqua,MODIS,60,6.03,291.7,7.1,D,0
35.0826,-5.5786,309.8,1,1,2018-02-23,1329,Aqua,MODIS,66,6.03,290.4,9.5,D,0
35.2157,-2.9791,309.7,1.1,1.1,2018-03-02,1335,Aqua,MODIS,54,6.03,295.6,6.5,D,0
30.8768,-6.9081,320,1,1,2018-03-25,1340,Aqua,MODIS,56,6.03,307.2,5.5,D,0
32.696,-7.9078,325.2,1.1,1,2018-04-02,1115,Terra,MODIS,81,6.03,293.1,19.8,D,0
31.4854,-8.2295,307.7,3.1,1.7,2018-04-07,1310,Aqua,MODIS,62,6.03,288.3,34.3,D,0
35.1942,-5.4838,313.8,1,1,2018-04-18,1115,Terra,MODIS,63,6.03,300.6,7.1,D,0
34.739,-2.0925,302.7,1,1,2018-04-27,2211,Terra,MODIS,51,6.03,286.5,7.3,N,0
